Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
;NZ1,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ1.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ2,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ2.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ3,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ3.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ4,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ4.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ5,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ5.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ6,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ6.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ7,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ7.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ8,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ8.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
;NZ9,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ9.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
NZ10,https://raw.githubusercontent.com/pgeenz/appletv/main/NZ10.jpeg,0:30:00,0:00:30,1/1/18 0:00,12/31/30 23:59,yes
